Test File,Status,Anomaly Count,Anomaly Types,Max Severity,Duration,Artifacts
mutated_output_008.html,failed,4,"[""csp_violation (check_security_issues)"", ""accessibility (check_accessibility)"", ""i18n_issue (check_localization)"", ""i18n_issue (check_localization)""]",4,49.64991,"{""screenshot"": ""/home/dhia/browser-fuzzer/Dissertation/detection_results/screenshots/mutated_output_008.html.png""}"
mutated_output_001.html,error,1,"[""execution_error (execute_test)""]",5,61.930134,{}
mutated_output_003.html,error,1,"[""execution_error (execute_test)""]",5,62.077631,{}
mutated_output_005.html,error,1,"[""execution_error (execute_test)""]",5,58.820373,{}
pass_all.html,failed,2,"[""accessibility (check_accessibility)"", ""console_errors (check_console_errors)""]",3,60.822944,"{""screenshot"": ""/home/dhia/browser-fuzzer/Dissertation/detection_results/screenshots/pass_all.html.png""}"
11.html,failed,5,"[""csp_violation (check_security_issues)"", ""accessibility (check_accessibility)"", ""i18n_issue (check_localization)"", ""i18n_issue (check_localization)"", ""console_errors (check_console_errors)""]",4,67.350022,"{""screenshot"": ""/home/dhia/browser-fuzzer/Dissertation/detection_results/screenshots/11.html.png""}"
mutated_output_002.html,error,1,"[""execution_error (execute_test)""]",5,64.439399,{}
mutated_output_004.html,error,1,"[""execution_error (execute_test)""]",5,66.258922,{}
fail_all.html,failed,9,"[""dom_structure (check_dom_structure)"", ""mixed_content (check_security_issues)"", ""csp_violation (check_security_issues)"", ""accessibility_error (check_accessibility)"", ""media_playback (check_media_playback)"", ""i18n_issue (check_localization)"", ""i18n_issue (check_localization)"", ""slow_execution (check_performance)"", ""console_errors (check_console_errors)""]",4,103.75862,"{""screenshot"": ""/home/dhia/browser-fuzzer/Dissertation/detection_results/screenshots/fail_all.html.png""}"
mutated_output_007.html,error,1,"[""execution_error (execute_test)""]",5,61.037192,{}
mutated_output_006.html,error,1,"[""execution_error (execute_test)""]",5,70.76693,{}
